ID,SEX,AGE,AREAdis,MARRIED,CHILD,Undesirable,ConservatibeBuying,FoodLiteracy01,FoodLiteracy02,FoodLiteracy03,FoodLiteracy04,FoodLiteracy05,FoodLiteracy06,FoodLiteracy07,FoodLiteracy08,FoodLiteracy09,Quiz01,Quiz02,Quiz03,Quiz04,Quiz05,Quiz06
64,2,46,265.9,2,2,6,1,4,4,3,3,4,2,4,5,1,1,1,3,2,3,1
65,1,58,220.8,2,1,5,3,4,3,2,3,2,3,3,4,4,1,1,1,2,4,1
66,1,38,425.3,2,2,4,1,4,5,3,5,5,4,5,5,5,3,5,1,2,3,1
67,1,49,679.9,2,2,1,3,1,2,5,2,5,5,1,5,5,5,5,5,2,3,1
68,2,48,559.7,2,2,4,3,2,3,3,4,2,2,2,5,4,2,5,1,1,5,5
69,1,47,220.8,2,1,5,4,1,5,1,3,1,1,2,4,3,3,4,4,5,3,5
70,1,44,67.7,2,1,3,3,3,3,3,2,3,3,3,3,3,5,5,5,5,5,5
71,1,56,220.8,1,1,2,1,4,4,4,4,4,4,4,4,4,3,1,2,2,2,2
72,2,55,55.2,2,2,6,1,5,4,4,4,5,5,5,5,5,1,3,4,2,4,1
73,1,45,427.9,2,2,5,3,2,3,2,3,2,2,2,2,2,3,1,1,2,3,1
74,2,46,610.2,1,2,5,2,3,3,2,3,4,3,3,4,4,1,5,2,2,5,5
75,2,44,236.8,2,2,4,4,4,4,4,4,3,3,3,4,4,4,5,5,5,5,5
76,1,51,0,2,1,4,3,4,4,4,4,5,3,5,5,4,3,4,3,2,3,2
77,2,40,427.9,2,2,4,2,3,3,3,2,3,2,4,4,4,4,3,4,2,2,1
78,1,45,427.9,2,2,4,3,2,3,3,4,4,4,3,2,2,1,5,5,5,5,5
79,1,46,265.9,2,2,6,1,3,3,3,3,3,3,3,5,3,3,1,2,2,3,5
80,1,55,156.3,2,2,5,5,3,2,2,4,4,3,3,3,2,2,1,2,5,4,2
81,1,49,1018.5,1,1,5,4,4,4,4,4,5,4,4,4,4,3,1,1,2,3,1
82,2,41,67.7,2,2,5,1,5,3,3,4,4,3,3,4,4,5,1,2,2,5,3
83,2,52,220.8,2,1,4,4,3,5,3,2,2,2,2,2,2,5,1,3,2,5,5
84,1,51,1111.6,2,1,3,4,3,3,3,3,4,3,3,3,3,5,5,2,5,3,5
85,1,46,55.2,2,2,3,4,2,3,3,3,3,3,3,3,3,2,4,4,1,5,5
86,2,38,141.3,2,2,4,4,4,3,3,3,3,3,3,3,3,4,3,1,2,5,5
87,1,46,583.8,1,1,5,4,3,3,3,3,3,4,2,2,2,3,5,2,1,3,1
88,1,52,559.7,2,2,5,5,4,4,4,4,4,3,4,3,4,4,4,3,4,4,4
89,1,44,0,2,2,4,1,4,4,3,3,2,2,2,3,1,3,5,2,4,4,1
90,2,54,1041.2,2,2,6,4,5,3,4,4,5,3,2,3,4,1,1,3,2,4,1
91,1,43,583.8,1,1,4,2,1,3,1,2,1,1,1,4,1,5,5,2,2,3,5
92,2,52,238.9,1,2,5,3,4,4,4,4,4,3,3,5,3,1,1,4,2,2,1
93,1,49,156.3,1,2,6,5,3,3,3,3,3,3,3,3,4,5,1,4,2,4,1
94,1,48,0,1,1,4,4,3,3,4,3,3,3,3,3,3,5,5,5,5,5,5
95,2,48,156.3,2,2,5,2,4,4,3,4,2,3,5,5,4,4,5,3,1,3,2
96,1,45,594.8,2,2,4,4,4,4,3,3,3,3,4,4,4,4,1,3,1,4,1
97,2,56,240,1,1,4,4,3,3,3,3,2,2,2,4,3,1,1,3,5,2,5
98,2,49,1018.5,2,1,4,3,4,4,4,4,3,3,4,4,3,3,1,1,2,4,1
99,1,42,224.9,2,1,5,4,2,4,3,3,2,2,2,4,3,3,4,3,2,3,2
100,2,42,55.2,2,2,5,1,3,3,1,3,2,2,2,5,5,5,5,2,2,5,1
101,2,41,559.7,2,2,5,2,4,3,3,3,4,3,4,4,3,5,5,2,2,4,1
102,1,39,222.4,1,1,3,2,3,3,2,3,2,2,2,3,2,3,5,2,2,3,1
103,1,46,1111.6,2,2,2,1,3,5,2,3,2,2,2,4,3,1,1,1,5,4,2
104,2,40,128.3,2,1,6,5,2,4,1,4,4,2,4,5,4,4,4,3,1,3,5
105,1,59,0,2,2,6,5,2,4,2,5,2,2,2,2,2,1,1,1,1,3,2
106,2,58,559.7,2,2,4,4,3,4,3,3,3,3,3,3,3,5,5,5,5,5,5
107,1,46,583.8,2,1,4,4,3,3,3,3,3,3,3,3,3,5,5,5,5,3,5
108,1,30,55.2,2,2,6,4,4,4,1,1,1,1,1,1,1,3,1,3,2,2,2
109,1,55,559.7,1,2,2,4,3,3,3,4,3,3,3,3,3,1,5,5,5,5,5
110,1,44,220.8,1,1,4,4,3,3,2,3,3,3,3,3,3,5,5,5,5,5,5
111,1,50,265.9,1,1,5,6,2,5,2,1,1,1,1,4,2,4,4,2,3,4,1
112,2,34,0,1,1,6,6,1,5,1,5,5,1,1,5,1,3,1,2,2,4,1
113,1,39,311.8,2,2,6,1,5,5,4,4,5,4,5,5,5,3,1,2,2,3,1
114,2,53,811.3,2,1,2,1,4,5,3,5,4,3,3,5,3,1,1,4,2,4,1
115,2,37,238.9,2,1,5,2,4,4,4,4,4,4,4,3,3,4,5,2,1,5,5
116,1,44,0,1,1,4,2,3,2,2,2,1,2,2,4,3,3,1,4,2,3,2
117,2,38,236.8,2,2,5,4,3,3,4,3,3,3,3,3,3,5,5,5,5,5,5
118,1,37,0,1,1,4,3,3,4,3,4,3,3,4,4,3,3,4,3,2,3,2
119,1,40,594.8,2,2,5,2,4,4,4,4,4,4,4,4,3,4,2,2,2,1,5
120,1,46,1137.6,2,2,4,3,3,3,4,3,3,3,4,3,3,4,5,2,1,3,1
121,1,40,583.8,1,1,4,1,4,5,2,4,4,3,3,3,3,1,5,4,2,4,1
122,2,43,594.8,2,1,4,4,3,3,3,3,3,3,3,3,3,5,5,2,2,3,3
123,2,47,594.8,2,1,6,1,5,5,5,5,5,4,4,5,4,3,1,2,2,2,2
124,1,45,1018.5,1,1,4,3,3,2,2,2,3,3,3,3,3,5,5,5,5,5,5
125,1,35,1111.6,1,1,6,6,4,5,3,4,2,2,4,4,4,3,1,1,1,3,1
126,2,41,1111.6,1,1,4,4,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5
127,2,55,559.7,2,1,6,6,4,3,3,3,3,3,3,5,5,2,5,4,5,5,2
